acc,bal_acc,n,subject,rung
0.45454545454545453,0.47619047619047616,44,41,8-transfer-exec-to-imag
0.9333333333333333,0.9337944664031621,45,42,8-transfer-exec-to-imag
0.5777777777777777,0.5830039525691699,45,43,8-transfer-exec-to-imag
0.7647058823529411,0.7543859649122806,34,44,8-transfer-exec-to-imag
0.6666666666666666,0.6729249011857708,45,45,8-transfer-exec-to-imag
0.5111111111111111,0.5,45,46,8-transfer-exec-to-imag
0.5333333333333333,0.5535714285714286,45,47,8-transfer-exec-to-imag
0.8823529411764706,0.8819444444444444,34,48,8-transfer-exec-to-imag
0.813953488372093,0.8149350649350648,43,49,8-transfer-exec-to-imag
0.6888888888888889,0.6946640316205533,45,50,8-transfer-exec-to-imag
0.6222222222222222,0.6369047619047619,45,51,8-transfer-exec-to-imag
0.7906976744186046,0.7922077922077921,43,52,8-transfer-exec-to-imag
0.8888888888888888,0.8873517786561265,45,53,8-transfer-exec-to-imag
0.7727272727272727,0.7826086956521738,44,54,8-transfer-exec-to-imag
0.7333333333333333,0.7371541501976284,45,55,8-transfer-exec-to-imag
0.5333333333333333,0.5208333333333334,45,58,8-transfer-exec-to-imag
0.5555555555555556,0.5803571428571428,45,59,8-transfer-exec-to-imag
0.6136363636363636,0.6136363636363636,44,60,8-transfer-exec-to-imag
0.65,0.65,40,61,8-transfer-exec-to-imag
0.8888888888888888,0.8913043478260869,45,62,8-transfer-exec-to-imag
0.6136363636363636,0.6118012422360248,44,64,8-transfer-exec-to-imag
0.5777777777777777,0.6011904761904762,45,65,8-transfer-exec-to-imag
0.5555555555555556,0.5632411067193676,45,67,8-transfer-exec-to-imag
0.5555555555555556,0.5464426877470356,45,68,8-transfer-exec-to-imag
0.6,0.5952380952380952,45,69,8-transfer-exec-to-imag
0.8444444444444444,0.8448616600790514,45,70,8-transfer-exec-to-imag
0.8604651162790697,0.8603896103896104,43,72,8-transfer-exec-to-imag
0.5952380952380952,0.5952380952380952,42,73,8-transfer-exec-to-imag
0.5116279069767442,0.5140692640692641,43,74,8-transfer-exec-to-imag
0.6666666666666666,0.6681818181818182,42,75,8-transfer-exec-to-imag
0.5952380952380952,0.5952380952380952,42,76,8-transfer-exec-to-imag
0.6222222222222222,0.5982142857142857,45,77,8-transfer-exec-to-imag
0.6046511627906976,0.6017316017316017,43,79,8-transfer-exec-to-imag
0.6444444444444445,0.6432806324110671,45,80,8-transfer-exec-to-imag
0.7333333333333333,0.7381422924901186,45,82,8-transfer-exec-to-imag
0.5555555555555556,0.5513833992094861,45,84,8-transfer-exec-to-imag
0.8444444444444444,0.8478260869565217,45,85,8-transfer-exec-to-imag
0.4090909090909091,0.40909090909090906,44,87,8-transfer-exec-to-imag
0.5777777777777777,0.5711462450592886,45,90,8-transfer-exec-to-imag
0.7777777777777778,0.7786561264822134,45,93,8-transfer-exec-to-imag
0.9111111111111111,0.9100790513833992,45,94,8-transfer-exec-to-imag
0.5116279069767442,0.5010822510822511,43,95,8-transfer-exec-to-imag
0.7441860465116279,0.7489177489177489,43,96,8-transfer-exec-to-imag
0.6363636363636364,0.6363636363636364,44,97,8-transfer-exec-to-imag
0.5142857142857142,0.4934210526315789,35,99,8-transfer-exec-to-imag
0.5714285714285714,0.5714285714285714,42,102,8-transfer-exec-to-imag
0.6222222222222222,0.6254940711462451,45,105,8-transfer-exec-to-imag
0.6222222222222222,0.6190476190476191,45,107,8-transfer-exec-to-imag
0.6829268292682927,0.675,41,108,8-transfer-exec-to-imag
0.6,0.6027667984189724,45,109,8-transfer-exec-to-imag
0.6666666666666666,0.6689723320158103,45,1,8-transfer-imag-to-exec
0.6888888888888889,0.6867588932806324,45,2,8-transfer-imag-to-exec
0.5777777777777777,0.5830039525691699,45,3,8-transfer-imag-to-exec
0.6190476190476191,0.6190476190476191,42,4,8-transfer-imag-to-exec
0.5333333333333333,0.5434782608695652,45,5,8-transfer-imag-to-exec
1.0,1.0,45,7,8-transfer-imag-to-exec
0.4772727272727273,0.4772727272727273,44,9,8-transfer-imag-to-exec
