acc,bal_acc,n,subject,n_train_subjects,rep,rung
0.6136363636363636,0.6136363636363636,44,97,20,0,5-learning-curve
0.5111111111111111,0.4851190476190476,45,47,20,0,5-learning-curve
0.5111111111111111,0.5,45,62,20,1,5-learning-curve
0.9555555555555556,0.9545454545454546,45,7,20,1,5-learning-curve
0.5333333333333333,0.5375494071146245,45,46,20,1,5-learning-curve
0.4888888888888889,0.4782608695652174,45,20,20,1,5-learning-curve
0.5,0.5,42,76,20,1,5-learning-curve
0.6,0.5922619047619048,45,51,20,1,5-learning-curve
0.5777777777777777,0.5859683794466404,45,68,20,1,5-learning-curve
0.7333333333333333,0.7282608695652174,45,33,20,1,5-learning-curve
0.6,0.6086956521739131,45,35,20,1,5-learning-curve
0.4888888888888889,0.5,45,70,20,1,5-learning-curve
0.8666666666666667,0.8695652173913043,45,42,20,1,5-learning-curve
0.8837209302325582,0.8852813852813852,43,72,20,1,5-learning-curve
0.7111111111111111,0.7232142857142857,45,65,20,1,5-learning-curve
0.5227272727272727,0.5227272727272727,44,97,20,1,5-learning-curve
0.6222222222222222,0.5952380952380952,45,47,20,1,5-learning-curve
0.5333333333333333,0.5227272727272727,45,62,20,2,5-learning-curve
0.5111111111111111,0.5,45,7,20,2,5-learning-curve
0.5555555555555556,0.5622529644268774,45,46,20,2,5-learning-curve
0.5111111111111111,0.5009881422924901,45,20,20,2,5-learning-curve
0.5476190476190477,0.5476190476190477,42,76,20,2,5-learning-curve
0.5333333333333333,0.5,45,51,20,2,5-learning-curve
0.5777777777777777,0.5869565217391304,45,68,20,2,5-learning-curve
0.6666666666666666,0.6590909090909091,45,33,20,2,5-learning-curve
0.4888888888888889,0.5,45,35,20,2,5-learning-curve
0.5111111111111111,0.5217391304347826,45,70,20,2,5-learning-curve
0.6,0.6086956521739131,45,42,20,2,5-learning-curve
0.9069767441860465,0.9047619047619048,43,72,20,2,5-learning-curve
0.6444444444444445,0.6577380952380952,45,65,20,2,5-learning-curve
0.5,0.5,44,97,20,2,5-learning-curve
0.6,0.5744047619047619,45,47,20,2,5-learning-curve
0.6222222222222222,0.6136363636363636,45,62,40,0,5-learning-curve
0.5333333333333333,0.5227272727272727,45,7,40,0,5-learning-curve
0.6222222222222222,0.6195652173913043,45,46,40,0,5-learning-curve
0.5777777777777777,0.5780632411067194,45,20,40,0,5-learning-curve
0.5238095238095238,0.5238095238095238,42,76,40,0,5-learning-curve
0.6,0.5744047619047619,45,51,40,0,5-learning-curve
0.6222222222222222,0.6245059288537549,45,68,40,0,5-learning-curve
0.7777777777777778,0.7727272727272727,45,33,40,0,5-learning-curve
0.4888888888888889,0.5,45,35,40,0,5-learning-curve
0.6444444444444445,0.6521739130434783,45,70,40,0,5-learning-curve
0.8444444444444444,0.8478260869565217,45,42,40,0,5-learning-curve
0.8604651162790697,0.8603896103896104,43,72,40,0,5-learning-curve
0.6,0.6160714285714286,45,65,40,0,5-learning-curve
0.5909090909090909,0.5909090909090909,44,97,40,0,5-learning-curve
0.6444444444444445,0.6309523809523809,45,47,40,0,5-learning-curve
0.8666666666666667,0.8636363636363636,45,62,40,1,5-learning-curve
0.7111111111111111,0.7045454545454546,45,7,40,1,5-learning-curve
0.5777777777777777,0.5800395256916996,45,46,40,1,5-learning-curve
0.5333333333333333,0.5247035573122529,45,20,40,1,5-learning-curve
0.5476190476190477,0.5476190476190476,42,76,40,1,5-learning-curve
0.5333333333333333,0.5029761904761905,45,51,40,1,5-learning-curve
0.5777777777777777,0.575098814229249,45,68,40,1,5-learning-curve
0.7555555555555555,0.75,45,33,40,1,5-learning-curve
0.5111111111111111,0.5217391304347826,45,35,40,1,5-learning-curve
0.5555555555555556,0.5652173913043478,45,70,40,1,5-learning-curve
0.7777777777777778,0.7826086956521738,45,42,40,1,5-learning-curve
0.8604651162790697,0.8625541125541125,43,72,40,1,5-learning-curve
0.6,0.6101190476190476,45,65,40,1,5-learning-curve
0.5,0.5,44,97,40,1,5-learning-curve
0.6,0.5714285714285714,45,47,40,1,5-learning-curve
0.5777777777777777,0.5691699604743083,45,62,40,2,5-learning-curve
0.5111111111111111,0.5,45,7,40,2,5-learning-curve
0.5111111111111111,0.5217391304347826,45,46,40,2,5-learning-curve
0.4888888888888889,0.47924901185770746,45,20,40,2,5-learning-curve
0.5238095238095238,0.5238095238095238,42,76,40,2,5-learning-curve
0.6222222222222222,0.6160714285714286,45,51,40,2,5-learning-curve
0.6666666666666666,0.6640316205533596,45,68,40,2,5-learning-curve
0.6666666666666666,0.6590909090909091,45,33,40,2,5-learning-curve
0.6444444444444445,0.6472332015810276,45,35,40,2,5-learning-curve
0.5555555555555556,0.5652173913043478,45,70,40,2,5-learning-curve
0.8444444444444444,0.8478260869565217,45,42,40,2,5-learning-curve
0.8604651162790697,0.8614718614718615,43,72,40,2,5-learning-curve
0.6222222222222222,0.6071428571428572,45,65,40,2,5-learning-curve
0.5909090909090909,0.5909090909090909,44,97,40,2,5-learning-curve
0.6,0.5744047619047619,45,47,40,2,5-learning-curve
0.6888888888888889,0.683794466403162,45,62,68,0,5-learning-curve
0.5333333333333333,0.5227272727272727,45,7,68,0,5-learning-curve
0.6,0.5948616600790514,45,46,68,0,5-learning-curve
0.4888888888888889,0.48023715415019763,45,20,68,0,5-learning-curve
0.5952380952380952,0.5952380952380952,42,76,68,0,5-learning-curve
0.5555555555555556,0.5327380952380952,45,51,68,0,5-learning-curve
0.6444444444444445,0.6403162055335968,45,68,68,0,5-learning-curve
0.7111111111111111,0.7045454545454546,45,33,68,0,5-learning-curve
0.4888888888888889,0.5,45,35,68,0,5-learning-curve
0.5777777777777777,0.5869565217391304,45,70,68,0,5-learning-curve
0.8,0.8043478260869565,45,42,68,0,5-learning-curve
0.9069767441860465,0.9069264069264069,43,72,68,0,5-learning-curve
0.6,0.6190476190476191,45,65,68,0,5-learning-curve
0.5,0.5,44,97,68,0,5-learning-curve
0.6222222222222222,0.6041666666666666,45,47,68,0,5-learning-curve
0.6888888888888889,0.683794466403162,45,62,68,1,5-learning-curve
0.5333333333333333,0.5227272727272727,45,7,68,1,5-learning-curve
0.6,0.5948616600790514,45,46,68,1,5-learning-curve
0.4888888888888889,0.48023715415019763,45,20,68,1,5-learning-curve
0.5952380952380952,0.5952380952380952,42,76,68,1,5-learning-curve
0.5555555555555556,0.5327380952380952,45,51,68,1,5-learning-curve
0.6444444444444445,0.6403162055335968,45,68,68,1,5-learning-curve
0.7111111111111111,0.7045454545454546,45,33,68,1,5-learning-curve
0.4888888888888889,0.5,45,35,68,1,5-learning-curve
0.5777777777777777,0.5869565217391304,45,70,68,1,5-learning-curve
0.8,0.8043478260869565,45,42,68,1,5-learning-curve
0.9069767441860465,0.9069264069264069,43,72,68,1,5-learning-curve
0.6,0.6190476190476191,45,65,68,1,5-learning-curve
0.5,0.5,44,97,68,1,5-learning-curve
0.6222222222222222,0.6041666666666666,45,47,68,1,5-learning-curve
0.6888888888888889,0.683794466403162,45,62,68,2,5-learning-curve
0.5333333333333333,0.5227272727272727,45,7,68,2,5-learning-curve
0.6,0.5948616600790514,45,46,68,2,5-learning-curve
0.4888888888888889,0.48023715415019763,45,20,68,2,5-learning-curve
0.5952380952380952,0.5952380952380952,42,76,68,2,5-learning-curve
0.5555555555555556,0.5327380952380952,45,51,68,2,5-learning-curve
0.6444444444444445,0.6403162055335968,45,68,68,2,5-learning-curve
0.7111111111111111,0.7045454545454546,45,33,68,2,5-learning-curve
0.4888888888888889,0.5,45,35,68,2,5-learning-curve
0.5777777777777777,0.5869565217391304,45,70,68,2,5-learning-curve
0.8,0.8043478260869565,45,42,68,2,5-learning-curve
0.9069767441860465,0.9069264069264069,43,72,68,2,5-learning-curve
0.6,0.6190476190476191,45,65,68,2,5-learning-curve
0.5,0.5,44,97,68,2,5-learning-curve
0.6222222222222222,0.6041666666666666,45,47,68,2,5-learning-curve
