acc,bal_acc,n,subject,rung,model,task
0.46511627906976744,0.4380434782608696,43,77,1-within-subject,laterality,executed
0.55,0.5413533834586466,40,79,1-within-subject,laterality,executed
0.5333333333333333,0.5276679841897234,45,80,1-within-subject,laterality,executed
0.5333333333333333,0.5335968379446641,45,82,1-within-subject,laterality,executed
0.46511627906976744,0.45108695652173914,43,84,1-within-subject,laterality,executed
0.5333333333333333,0.5345849802371542,45,85,1-within-subject,laterality,executed
0.5555555555555556,0.5238095238095238,45,87,1-within-subject,laterality,executed
0.4888888888888889,0.4642857142857143,45,90,1-within-subject,laterality,executed
0.6666666666666666,0.6640316205533596,45,93,1-within-subject,laterality,executed
0.6222222222222222,0.6225296442687747,45,94,1-within-subject,laterality,executed
0.5227272727272727,0.5124223602484472,44,95,1-within-subject,laterality,executed
0.4634146341463415,0.45952380952380956,41,96,1-within-subject,laterality,executed
0.5777777777777777,0.5780632411067194,45,97,1-within-subject,laterality,executed
0.39473684210526316,0.37777777777777777,38,99,1-within-subject,laterality,executed
0.5714285714285714,0.5714285714285714,42,102,1-within-subject,laterality,executed
0.5777777777777777,0.5535714285714286,45,105,1-within-subject,laterality,executed
0.525,0.5,40,107,1-within-subject,laterality,executed
0.6,0.581453634085213,40,108,1-within-subject,laterality,executed
0.5384615384615384,0.5355263157894736,39,109,1-within-subject,laterality,executed
0.6444444444444445,0.6492094861660079,45,1,1-within-subject,csp_lda,executed
0.5555555555555556,0.5553359683794465,45,2,1-within-subject,csp_lda,executed
0.5555555555555556,0.5563241106719368,45,3,1-within-subject,csp_lda,executed
0.6904761904761905,0.6904761904761905,42,4,1-within-subject,csp_lda,executed
0.6,0.5978260869565217,45,5,1-within-subject,csp_lda,executed
0.8888888888888888,0.8883399209486166,45,7,1-within-subject,csp_lda,executed
0.6363636363636364,0.6363636363636364,44,9,1-within-subject,csp_lda,executed
0.7333333333333333,0.7172619047619048,45,10,1-within-subject,csp_lda,executed
0.4666666666666667,0.47529644268774707,45,11,1-within-subject,csp_lda,executed
0.8444444444444444,0.8363095238095238,45,12,1-within-subject,csp_lda,executed
0.5483870967741935,0.55,31,13,1-within-subject,csp_lda,executed
0.6,0.5988142292490118,45,14,1-within-subject,csp_lda,executed
0.6976744186046512,0.6937229437229437,43,15,1-within-subject,csp_lda,executed
0.5555555555555556,0.5553359683794465,45,16,1-within-subject,csp_lda,executed
0.5555555555555556,0.5474308300395256,45,18,1-within-subject,csp_lda,executed
0.8837209302325582,0.8880434782608695,43,19,1-within-subject,csp_lda,executed
0.5777777777777777,0.5714285714285714,45,20,1-within-subject,csp_lda,executed
0.6111111111111112,0.6111111111111112,36,21,1-within-subject,csp_lda,executed
0.5909090909090909,0.5962732919254659,44,23,1-within-subject,csp_lda,executed
