acc,bal_acc,n,subject,perm,rung
0.4888888888888889,0.49011857707509876,45,23,58,5-permutation-null
0.4666666666666667,0.4654150197628458,45,23,59,5-permutation-null
0.4444444444444444,0.4397233201581028,45,23,60,5-permutation-null
0.4,0.391304347826087,45,23,61,5-permutation-null
0.4,0.39624505928853754,45,23,62,5-permutation-null
0.4222222222222222,0.4199604743083004,45,23,63,5-permutation-null
0.4222222222222222,0.41897233201581024,45,23,64,5-permutation-null
0.4888888888888889,0.4871541501976284,45,23,65,5-permutation-null
0.5333333333333333,0.5296442687747036,45,23,66,5-permutation-null
0.5333333333333333,0.5326086956521738,45,23,67,5-permutation-null
0.5777777777777777,0.5760869565217391,45,23,68,5-permutation-null
0.4888888888888889,0.4851778656126482,45,23,69,5-permutation-null
0.35555555555555557,0.3547430830039526,45,23,70,5-permutation-null
0.6222222222222222,0.6195652173913043,45,23,71,5-permutation-null
0.4,0.3942687747035573,45,23,72,5-permutation-null
0.4222222222222222,0.4258893280632411,45,23,73,5-permutation-null
0.5333333333333333,0.5276679841897234,45,23,74,5-permutation-null
0.5777777777777777,0.575098814229249,45,23,75,5-permutation-null
0.35555555555555557,0.35276679841897235,45,23,76,5-permutation-null
0.4222222222222222,0.4209486166007905,45,23,77,5-permutation-null
0.4888888888888889,0.48616600790513836,45,23,78,5-permutation-null
0.4222222222222222,0.41897233201581024,45,23,79,5-permutation-null
0.4888888888888889,0.4851778656126482,45,23,80,5-permutation-null
0.4222222222222222,0.42193675889328064,45,23,81,5-permutation-null
0.4888888888888889,0.49011857707509876,45,23,82,5-permutation-null
0.4888888888888889,0.491106719367589,45,23,83,5-permutation-null
0.5111111111111111,0.5098814229249011,45,23,84,5-permutation-null
0.4888888888888889,0.49209486166007904,45,23,85,5-permutation-null
0.4222222222222222,0.424901185770751,45,23,86,5-permutation-null
0.4222222222222222,0.41897233201581024,45,23,87,5-permutation-null
0.5777777777777777,0.5780632411067194,45,23,88,5-permutation-null
0.5333333333333333,0.5306324110671937,45,23,89,5-permutation-null
0.5555555555555556,0.5553359683794465,45,23,90,5-permutation-null
0.6,0.6017786561264822,45,23,91,5-permutation-null
0.4222222222222222,0.42391304347826086,45,23,92,5-permutation-null
0.37777777777777777,0.38142292490118573,45,23,93,5-permutation-null
0.4444444444444444,0.44762845849802374,45,23,94,5-permutation-null
0.3333333333333333,0.3290513833992095,45,23,95,5-permutation-null
0.6,0.5978260869565217,45,23,96,5-permutation-null
0.4666666666666667,0.4654150197628458,45,23,97,5-permutation-null
0.5111111111111111,0.5148221343873518,45,23,98,5-permutation-null
0.4888888888888889,0.48814229249011853,45,23,99,5-permutation-null
0.42857142857142855,0.42857142857142855,42,76,0,5-permutation-null
0.5476190476190477,0.5476190476190476,42,76,1,5-permutation-null
0.6190476190476191,0.6190476190476191,42,76,2,5-permutation-null
0.5238095238095238,0.5238095238095238,42,76,3,5-permutation-null
0.4523809523809524,0.4523809523809524,42,76,4,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,5,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,6,5-permutation-null
0.3333333333333333,0.3333333333333333,42,76,7,5-permutation-null
0.5,0.5,42,76,8,5-permutation-null
0.35714285714285715,0.3571428571428571,42,76,9,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,10,5-permutation-null
0.6428571428571429,0.6428571428571428,42,76,11,5-permutation-null
0.5714285714285714,0.5714285714285714,42,76,12,5-permutation-null
0.5714285714285714,0.5714285714285714,42,76,13,5-permutation-null
0.5238095238095238,0.5238095238095238,42,76,14,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,15,5-permutation-null
0.4523809523809524,0.4523809523809524,42,76,16,5-permutation-null
0.6190476190476191,0.6190476190476191,42,76,17,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,18,5-permutation-null
0.42857142857142855,0.4285714285714286,42,76,19,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,20,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,21,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,22,5-permutation-null
0.3333333333333333,0.3333333333333333,42,76,23,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,24,5-permutation-null
0.5,0.5,42,76,25,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,26,5-permutation-null
0.5,0.5,42,76,27,5-permutation-null
0.6904761904761905,0.6904761904761905,42,76,28,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,29,5-permutation-null
0.5,0.5,42,76,30,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,31,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,32,5-permutation-null
0.5714285714285714,0.5714285714285714,42,76,33,5-permutation-null
0.42857142857142855,0.42857142857142855,42,76,34,5-permutation-null
0.35714285714285715,0.3571428571428571,42,76,35,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,36,5-permutation-null
0.42857142857142855,0.42857142857142855,42,76,37,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,38,5-permutation-null
0.5,0.5,42,76,39,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,40,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,41,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,42,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,43,5-permutation-null
0.4523809523809524,0.4523809523809524,42,76,44,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,45,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,46,5-permutation-null
